x_easting_m,y_northing_m,z_elevation_m
566690.5020335459,4190612.630951189,126.0
566690.4132028978,4190612.598484057,125.99492900608519
566690.3244238114,4190612.5596682075,125.98985801217039
566690.2355759745,4190612.5293173147,125.98478701825557
566690.1467796991,4190612.492617707,125.97971602434077
566690.0578974861,4190612.466499294,125.97464503042596
566689.9691527714,4190612.423450973,125.96957403651116
566689.8802877445,4190612.3952163225,125.96450304259635
566689.791543028,4190612.3521680026,125.95943204868153
566689.7026779975,4190612.323933355,125.95436105476674
566689.6139504666,4190612.2787687997,125.94929006085192
566689.5249823136,4190612.2632315867,125.94421906693712
566689.436237594,4190612.2201832687,125.93914807302231
566689.3474756862,4190612.1792511926,125.93407707910751
566689.2587309647,4190612.136202879,125.9290060851927
566689.1699003067,4190612.10373576,125.9239350912779
566689.0809837123,4190612.081849835,125.91886409736308
566688.9922561756,4190612.036685285,125.91379310344827
566688.9033567671,4190612.0126831243,125.90872210953347
566688.8146979768,4190611.9590536193,125.90365111561866
566688.7258329411,4190611.9308189834,125.89858012170386
566688.6370366528,4190611.894119392,125.89350912778905
566688.5483091117,4190611.848954846,125.88843813387425
566688.459444074,4190611.820720214,125.88336713995943
566688.3706649703,4190611.781904385,125.87829614604462
566688.2817999289,4190611.753669755,125.87322515212982
566688.1930380105,4190611.7127376897,125.868154158215
566688.1043276519,4190611.6654569106,125.8630831643002
566688.0154626108,4190611.63722228,125.8580121703854
566687.9267178766,4190611.594173982,125.8529411764706
566687.8378528341,4190611.5659393547,125.84787018255578
566687.7490393512,4190611.531356011,125.84279918864097
566687.6601743075,4190611.503121387,125.83772819472617
566687.5714467568,4190611.457956851,125.83265720081135
566687.4827192053,4190611.4127923185,125.82758620689656
566687.3938713438,4190611.3824414574,125.82251521298174
566687.3051437906,4190611.3372769263,125.81744421906694
566687.216330303,4190611.302693588,125.81237322515213
566687.1275168149,4190611.2681102534,125.80730223123732
566687.0387205125,4190611.231410679,125.80223123732252
566686.9498726497,4190611.2010598234,125.7971602434077
566686.8610591594,4190611.1664764895,125.7920892494929
566686.7722800414,4190611.1276606806,125.78701825557809
566686.683586855,4190611.0782636777,125.78194726166329
566686.5947046163,4190611.052145303,125.77687626774848
566686.5058567477,4190611.0217944523,125.77180527383368
566686.4171979316,4190610.9681649758,125.76673427991886
566686.3283500636,4190610.9378141253,125.76166328600405
566686.2395709407,4190610.8989983215,125.75659229208925
566686.150791817,4190610.8601825195,125.75152129817444
566686.0620126924,4190610.8213667176,125.74645030425964
566685.9733194986,4190610.771969722,125.74137931034483
566685.8843685093,4190610.754316311,125.73630831643003
566685.7956581274,4190610.707035557,125.73123732251521
566685.7068618133,4190610.670335997,125.7261663286004
566685.618031126,4190610.6378689166,125.7210953346856
566685.5293207413,4190610.590588166,125.71602434077079
566685.4405072387,4190610.5560048483,125.71095334685599
566685.3517452937,4190610.5150728156,125.70588235294117
566685.2629146033,4190610.48260574,125.70081135902637
566685.1741182846,4190610.4459061855,125.69574036511156
566685.0853219627,4190610.409206634,125.69066937119675
566684.9965428284,4190610.3703908445,125.68559837728195
566684.9077808793,4190610.329458816,125.68052738336714
566684.8189673712,4190610.2948755054,125.67545638945234
566684.7301538626,4190610.2602921952,125.67038539553752
566684.6414434689,4190610.2130114553,125.66531440162272
566684.5525268429,4190610.1911255806,125.66024340770791
566684.4638336333,4190610.1417286014,125.65517241379311
566684.3750201216,4190610.107145296,125.6501014198783
566684.2862409807,4190610.0683295135,125.64503042596348
566684.1975133944,4190610.0231650174,125.63995943204868
566684.1087342518,4190609.9843492354,125.63488843813387
566684.0198863653,4190609.953998412,125.62981744421907
566683.9310900355,4190609.917298872,125.62474645030426
566683.8423796336,4190609.870018139,125.61967545638946
566683.7534973733,4190609.8438997953,125.61460446247465
566683.6647525983,4190609.800851543,125.60953346855983
566683.5759390795,4190609.7662682463,125.60446247464503
566683.4871083745,4190609.733801189,125.59939148073022
566683.3984838963,4190609.675939267,125.59432048681542
566683.3095844449,4190609.6519371667,125.5892494929006
566683.2208396654,4190609.6088889195,125.5841784989858
566683.1319917716,4190609.5785381054,125.579107505071
566683.0432641761,4190609.53337362,125.57403651115618
566682.9545022085,4190609.492441614,125.56896551724138
566682.8656199416,4190609.46632328,125.56389452332657
566682.7768923434,4190609.4211587976,125.55882352941177
566682.6880960024,4190609.3844592716,125.55375253549695
566682.5992824753,4190609.3498759847,125.54868154158216
566682.5105892452,4190609.3004790284,125.54361054766734
566682.421706975,4190609.274360698,125.53853955375254
566682.3329965577,4190609.2270799833,125.53346855983773
566682.244114286,4190609.2009616555,125.52839756592292
566682.1554382376,4190609.1494484646,125.52332657200812
566682.0665559645,4190609.1233301386,125.5182555780933
566681.9778455436,4190609.076049428,125.5131845841785
566681.8889976376,4190609.0456986264,125.50811359026369
566681.8001497331,4190609.0153478263,125.50304259634889
566681.7114221243,4190608.970183356,125.49797160243408
566681.6226085888,4190608.93560008,125.49290060851926
566681.5338294228,4190608.8967843284,125.48782961460446
566681.4450158856,4190608.862201055,125.48275862068965
566681.356236718,4190608.8233853043,125.47768762677485
566681.2674747347,4190608.7824533167,125.47261663286004
566681.1786611953,4190608.7478700466,125.46754563894524
566681.0898992103,4190608.7069380605,125.46247464503043
566681.0011372222,4190608.6660060757,125.45740365111561
566680.9122549404,4190608.639887763,125.45233265720081
566680.8235788778,4190608.588374586,125.447261663286
566680.7346794098,4190608.5643725134,125.4421906693712
566680.6458830507,4190608.5276730102,125.43711967545639
566680.5571726155,4190608.480392313,125.43204868154159
566680.4682731456,4190608.456390244,125.42697768762677
566680.3795455237,4190608.4112257888,125.42190669371196
566680.290697607,4190608.380875006,125.41683569979716
566680.2019871682,4190608.3335943124,125.41176470588235
566680.1132079869,4190608.294778577,125.40669371196755
566680.0243256986,4190608.268660273,125.40162271805274
566679.9355293334,4190608.231960778,125.39655172413794
566679.8468532604,4190608.1804476115,125.39148073022312
566679.7580053393,4190608.1500968337,125.38640973630832
566679.6691746024,4190608.1176298186,125.38133874239351
566679.5803266801,4190608.0872790427,125.3762677484787
566679.4916162341,4190608.0399983595,125.3711967545639
566679.4028370486,4190608.0011826297,125.36612576064908
566679.3140063087,4190607.968715619,125.36105476673428
566679.2251927527,4190607.9341323697,125.35598377281947
566679.1363620113,4190607.9016653597,125.35091277890467
566679.0476000073,4190607.860733396,125.34584178498986
566678.9588036335,4190607.8240339104,125.34077079107504
566678.8699213365,4190607.7979156207,125.33569979716025
566678.7811765146,4190607.754867422,125.33062880324543
566678.6924316895,4190607.711819222,125.32555780933063
566678.6035837594,4190607.6814684584,125.32048681541582
566678.514804566,4190607.642652739,125.31541582150102
566678.4260425563,4190607.601720782,125.3103448275862
566678.3370743338,4190607.5861836914,125.3052738336714
566678.2483982439,4190607.5346705425,125.3002028397566
566678.159653416,4190607.491622351,125.29513184584178
566678.0707539289,4190607.4676203076,125.29006085192698
566677.9819747309,4190607.4288045946,125.28498985801217
566677.8930924267,4190607.4026863165,125.27991886409737
566677.8043647775,4190607.3575218874,125.27484787018255
566677.7155168403,4190607.327171133,125.26977687626776
566677.626703271,4190607.2925879,125.26470588235294
566677.5378725167,4190607.260120909,125.25963488843813
566677.4491792344,4190607.210724007,125.25456389452333
566677.3603312945,4190607.1803732566,125.24949290060852
566677.2714833539,4190607.150022505,125.24442190669372
566677.1826697808,4190607.115439279,125.2393509127789
566677.093821839,4190607.08508853,125.2342799188641
566677.0050426323,4190607.0462728282,125.22920892494929
566676.9161946868,4190607.0159220826,125.22413793103448
566676.8274498464,4190606.9728739043,125.21906693711968
566676.7385847179,4190606.9446393973,125.21399594320486
566676.6498055081,4190606.9058236997,125.20892494929006
566676.560974746,4190606.873356717,125.20385395537525
566676.4721096155,4190606.845122216,125.19878296146045
566676.3834335064,4190606.7936090874,125.19371196754564
566676.2945683744,4190606.7653745865,125.18864097363083
566676.2056516905,4190606.7434888044,125.18356997971603
566676.1169583949,4190606.6940919165,125.17849898580121
566676.0280760772,4190606.667973657,125.17342799188641
566675.9392453101,4190606.6355066835,125.1683569979716
566675.8504317261,4190606.600923471,125.1632860040568
566675.761583774,4190606.5705727376,125.15821501014199
566675.6728045557,4190606.5317570497,125.15314401622717
566675.5838878679,4190606.5098712724,125.14807302231237
566675.4951601967,4190606.4647068703,125.14300202839756
566675.4062435075,4190606.4428210957,125.13793103448276
566675.3174986534,4190606.3997729346,125.13286004056795
566675.2287022478,4190606.3630734896,125.12778904665315
566675.1398371075,4190606.334839002,125.12271805273834
566675.0510235169,4190606.3002557983,125.11764705882354
566674.9621583753,4190606.272021312,125.11257606490872
566674.8733791502,4190606.233205633,125.10750507099391
566674.784462457,4190606.211319865,125.10243407707911
566674.6956832305,4190606.1725041885,125.0973630831643
566674.6068696342,4190606.1379209897,125.0922920892495
566674.5180044894,4190606.109686509,125.08722109533468
566674.429139344,4190606.081452028,125.08215010141988
566674.3403429311,4190606.0447525936,125.07707910750507
566674.251512151,4190606.012285637,125.07200811359026
566674.1626470037,4190605.98405116,125.06693711967546
566674.073799039,4190605.953700444,125.06186612576064
566673.9849338904,4190605.9254659694,125.05679513184585
566673.896137474,4190605.8887665397,125.05172413793103
566673.8073238736,4190605.8541833498,125.04665314401623
566673.718475904,4190605.8238326386,125.04158215010142
566673.6296451191,4190605.7913656887,125.0365111561866
566673.5409174319,4190605.746201309,125.0314401622718
566673.4519148151,4190605.734896749,125.026369168357
566673.3631183943,4190605.6981973243,125.0212981744422
566673.2742532407,4190605.669962858,125.01622718052738
566673.1853709035,4190605.6438446287,125.01115618661258
566673.0965401146,4190605.6113776867,125.00608519269777
566673.007743691,4190605.5746782664,125.00101419878297
566672.9188098033,4190605.5549087585,124.99594320486815
566672.8299790125,4190605.522441818,124.99087221095334
566672.7411138553,4190605.494207356,124.98580121703854
566672.6523346116,4190605.4553917004,124.98073022312373
566672.5635038188,4190605.422924763,124.97565922920893
566672.4746214768,4190605.396806543,124.97058823529412
566672.3857734998,4190605.366455846,124.96551724137932
566672.2969598855,4190605.331872672,124.9604462474645
