20221114,20221206,20230104,20230201,20230301,20230413,20230504,20230602,20230712,20230801,20230908,20231004,20231201,20240112,20240224,20240322,20240411,20240526,20240723,20241106,20241220,20250131,20250222,20250312,20250408,20250803,20250922,20251003,20251111,20251222,20260129,70251111,120251111,170251111,220251111,270251111,520251111,770251111,1020251111
0.0,-76.2784090909091,-108.23863636363635,-64.06249999999999,-42.258522727272734,-92.40056818181819,-74.7159090909091,-87.0028409090909,-157.5284090909091,-162.57102272727275,-81.25,-114.48863636363636,-141.33522727272728,-108.73579545454547,-177.6278409090909,-182.5284090909091,-141.76136363636365,-160.86647727272728,-172.30113636363637,-101.98863636363636,-105.11363636363637,-114.84375,-107.10227272727273,-137.71306818181816,-140.4119318181818,-254.19034090909093,-183.23863636363635,-124.43181818181819,-169.67329545454547,-122.51420454545458,-95.38352272727272,-169.67329545454547,-169.67329545454547,-169.67329545454547,-169.67329545454547,-169.67329545454547,-169.67329545454547,-169.67329545454547,-169.67329545454547
0.0,-70.17045454545455,-86.78977272727272,-51.84659090909089,-31.463068181818187,-77.20170454545456,-63.92045454545455,-71.94602272727272,-145.5965909090909,-152.34375000000003,-70.73863636363637,-94.46022727272728,-133.8068181818182,-96.66193181818181,-163.70738636363635,-167.4715909090909,-131.25,-136.57670454545456,-165.19886363636363,-110.22727272727273,-124.00568181818184,-133.8778409090909,-121.59090909090908,-147.3721590909091,-154.9005681818182,-264.4176136363636,-169.88636363636363,-107.8125,-160.7244318181818,-115.12784090909092,-83.02556818181819,-160.7244318181818,-160.7244318181818,-160.7244318181818,-160.7244318181818,-160.7244318181818,-160.7244318181818,-160.7244318181818,-160.7244318181818
0.0,-65.48295454545455,-63.63636363636363,-39.34659090909089,-21.946022727272734,-60.44034090909092,-51.5625,-55.32670454545455,-133.52272727272728,-141.97443181818184,-60.22727272727272,-75.85227272727273,-118.60795454545456,-78.33806818181819,-141.83238636363637,-150.42613636363637,-119.17613636363637,-110.58238636363637,-159.51704545454544,-110.51136363636364,-136.64772727272728,-146.51988636363637,-132.67045454545456,-155.32670454545453,-163.13920454545453,-268.25284090909093,-154.82954545454544,-89.63068181818181,-146.80397727272728,-104.33238636363639,-67.54261363636363,-146.80397727272728,-146.80397727272728,-146.80397727272728,-146.80397727272728,-146.80397727272728,-146.80397727272728,-146.80397727272728,-146.80397727272728
0.0,-57.95454545454545,-43.74999999999999,-26.988636363636346,-11.29261363636364,-43.821022727272734,-39.346590909090914,-41.97443181818181,-121.73295454545456,-128.76420454545456,-51.42045454545453,-62.07386363636364,-103.55113636363637,-55.46874999999999,-117.11647727272728,-132.10227272727272,-104.11931818181819,-83.3096590909091,-150.9943181818182,-107.67045454545455,-141.76136363636365,-150.07102272727272,-136.22159090909088,-155.7528409090909,-168.39488636363637,-264.4176136363636,-135.22727272727272,-68.4659090909091,-126.91761363636365,-92.25852272727273,-47.65625000000001,-126.91761363636365,-126.91761363636365,-126.91761363636365,-126.91761363636365,-126.91761363636365,-126.91761363636365,-126.91761363636365,-126.91761363636365
0.0,-50.28409090909091,-25.2840909090909,-16.051136363636346,-0.4971590909090935,-30.1846590909091,-30.113636363636367,-30.042613636363644,-111.36363636363637,-116.83238636363636,-45.59659090909091,-52.69886363636364,-88.35227272727272,-34.01988636363636,-93.82102272727272,-115.05681818181819,-91.9034090909091,-62.002840909090914,-145.3125,-106.25,-141.9034090909091,-148.79261363636365,-134.80113636363637,-152.76988636363635,-165.8380681818182,-254.19034090909093,-116.90340909090907,-48.57954545454547,-105.32670454545456,-76.91761363636364,-27.769886363636367,-105.32670454545456,-105.32670454545456,-105.32670454545456,-105.32670454545456,-105.32670454545456,-105.32670454545456,-105.32670454545456,-105.32670454545456
0.0,-45.59659090909091,-14.488636363636353,-11.221590909090892,7.03125,-24.218750000000007,-25.426136363636367,-22.51420454545455,-102.55681818181819,-111.00852272727273,-44.46022727272728,-48.15340909090909,-79.26136363636363,-15.553977272727273,-73.79261363636364,-105.53977272727272,-84.23295454545456,-51.34943181818182,-141.05113636363637,-106.25,-137.35795454545453,-145.95170454545456,-130.2556818181818,-151.20738636363635,-164.70170454545453,-242.25852272727275,-100.0,-36.22159090909091,-86.71875,-64.70170454545458,-12.428977272727273,-86.71875,-86.71875,-86.71875,-86.71875,-86.71875,-86.71875,-86.71875,-86.71875
0.0,-39.48863636363637,-5.25568181818182,-6.534090909090892,15.980113636363626,-16.832386363636374,-22.301136363636367,-15.12784090909091,-93.89204545454545,-103.62215909090908,-46.30681818181819,-45.02840909090909,-70.0284090909091,-1.6335227272727266,-55.32670454545455,-94.74431818181819,-75.14204545454547,-43.67897727272727,-136.78977272727275,-104.82954545454545,-123.57954545454547,-136.86079545454547,-126.98863636363636,-143.39488636363635,-158.8778409090909,-224.21875,-83.0965909090909,-25.284090909090907,-68.11079545454547,-52.48579545454545,1.4914772727272734,-68.11079545454547,-68.11079545454547,-68.11079545454547,-68.11079545454547,-68.11079545454547,-68.11079545454547,-68.11079545454547,-68.11079545454547
0.0,-36.36363636363637,-2.13068181818182,-9.232954545454533,22.088068181818173,-18.394886363636374,-25.14204545454546,-12.286931818181817,-91.05113636363637,-102.34375000000001,-52.55681818181819,-46.44886363636364,-68.18181818181819,6.32102272727273,-44.38920454545455,-92.89772727272728,-71.875,-43.67897727272727,-136.78977272727275,-107.67045454545455,-111.07954545454547,-130.46875,-123.57954545454545,-136.86079545454544,-155.89488636363637,-207.31534090909093,-69.17613636363635,-21.875,-53.90625,-44.81534090909092,9.446022727272734,-53.90625,-53.90625,-53.90625,-53.90625,-53.90625,-53.90625,-53.90625,-53.90625
0.0,-36.22159090909091,0.8522727272727266,-13.494318181818173,26.63352272727272,-21.519886363636374,-28.125,-13.99147727272727,-89.77272727272728,-102.48579545454545,-60.36931818181819,-48.01136363636364,-66.47727272727272,12.713068181818183,-36.43465909090909,-89.63068181818181,-70.17045454545456,-45.09943181818182,-138.21022727272728,-109.0909090909091,-90.90909090909092,-120.95170454545456,-120.17045454545455,-128.76420454545453,-148.36647727272728,-188.84943181818184,-53.83522727272725,-18.465909090909093,-41.40625,-37.14488636363636,18.821022727272734,-41.40625,-41.40625,-41.40625,-41.40625,-41.40625,-41.40625,-41.40625,-41.40625
0.0,-34.65909090909091,0.7102272727272734,-16.47727272727272,32.59943181818181,-20.24147727272728,-31.25,-11.292613636363637,-85.51136363636364,-101.34943181818183,-66.76136363636363,-46.73295454545455,-60.36931818181818,19.10511363636364,-31.60511363636364,-83.52272727272728,-67.1875,-42.11647727272727,-138.21022727272728,-109.0909090909091,-67.89772727272728,-106.60511363636365,-113.77840909090908,-116.26420454545455,-136.4346590909091,-170.24147727272728,-38.49431818181816,-12.357954545454561,-29.048295454545467,-31.036931818181827,25.071022727272734,-29.048295454545467,-29.048295454545467,-29.048295454545467,-29.048295454545467,-29.048295454545467,-29.048295454545467,-29.048295454545467,-29.048295454545467
0.0,-34.65909090909091,-1.1363636363636331,-21.16477272727272,37.14488636363636,-22.088068181818187,-34.51704545454546,-11.718750000000004,-81.25,-101.91761363636364,-74.7159090909091,-47.01704545454545,-54.26136363636363,23.79261363636364,-29.900568181818187,-78.97727272727272,-62.784090909090914,-40.41193181818182,-136.78977272727275,-110.51136363636364,-44.74431818181819,-92.25852272727272,-105.96590909090908,-100.78124999999999,-125.92329545454547,-150.07102272727275,-26.278409090909065,-9.232954545454561,-16.690340909090907,-23.508522727272734,29.758522727272734,-16.690340909090907,-16.690340909090907,-16.690340909090907,-16.690340909090907,-16.690340909090907,-16.690340909090907,-16.690340909090907,-16.690340909090907
0.0,-36.22159090909091,-5.965909090909086,-25.994318181818173,40.12784090909089,-23.9346590909091,-34.80113636363637,-12.00284090909091,-79.9715909090909,-102.34375,-82.5284090909091,-48.86363636363636,-45.3125,30.04261363636364,-29.758522727272734,-74.57386363636365,-58.38068181818182,-35.86647727272727,-135.3693181818182,-110.51136363636364,-21.44886363636364,-76.20738636363637,-96.5909090909091,-83.73579545454545,-115.26988636363637,-126.91761363636365,-9.517045454545439,-3.125,-6.036931818181813,-18.963068181818187,35.86647727272727,-6.036931818181813,-6.036931818181813,-6.036931818181813,-6.036931818181813,-6.036931818181813,-6.036931818181813,-6.036931818181813,-6.036931818181813
0.0,-37.64204545454545,-13.778409090909086,-30.681818181818173,40.12784090909089,-28.764204545454554,-36.50568181818183,-13.707386363636363,-79.9715909090909,-105.7528409090909,-87.2159090909091,-49.14772727272728,-39.0625,33.30965909090909,-31.03693181818182,-73.01136363636365,-55.39772727272727,-29.616477272727273,-135.3693181818182,-113.35227272727273,3.4090909090909065,-61.576704545454554,-88.63636363636364,-64.98579545454545,-102.91193181818181,-103.6221590909091,4.4034090909090935,3.267045454545439,4.7585227272727195,-12.713068181818187,42.11647727272727,4.7585227272727195,4.7585227272727195,4.7585227272727195,4.7585227272727195,4.7585227272727195,4.7585227272727195,4.7585227272727195,4.7585227272727195
0.0,-39.0625,-21.590909090909086,-30.823863636363626,43.11079545454545,-32.03125000000001,-32.24431818181819,-15.411931818181817,-77.13068181818183,-106.03693181818181,-92.04545454545453,-49.43181818181819,-26.846590909090907,39.55965909090909,-27.91193181818182,-66.9034090909091,-49.43181818181818,-21.946022727272727,-132.5284090909091,-113.35227272727273,29.829545454545453,-43.96306818181818,-76.13636363636364,-44.81534090909092,-90.55397727272728,-77.20170454545455,19.744318181818187,14.0625,18.536931818181813,-6.60511363636364,48.36647727272727,18.536931818181813,18.536931818181813,18.536931818181813,18.536931818181813,18.536931818181813,18.536931818181813,18.536931818181813,18.536931818181813
0.0,-40.48295454545455,-30.823863636363633,-30.823863636363626,41.69034090909089,-36.71875000000001,-29.26136363636364,-18.394886363636363,-80.11363636363637,-106.17897727272727,-95.17045454545453,-50.99431818181819,-16.19318181818182,45.95170454545455,-26.34943181818182,-62.21590909090909,-44.88636363636363,-12.71306818181818,-132.5284090909091,-114.77272727272728,56.39204545454546,-21.66193181818182,-62.07386363636364,-25.92329545454545,-77.91193181818181,-52.05965909090909,33.80681818181819,25.0,27.911931818181813,-1.775568181818187,54.61647727272727,27.911931818181813,27.911931818181813,27.911931818181813,27.911931818181813,27.911931818181813,27.911931818181813,27.911931818181813,27.911931818181813
0.0,-45.02840909090909,-41.61931818181818,-32.24431818181817,40.26988636363636,-44.389204545454554,-29.26136363636364,-23.082386363636363,-80.11363636363637,-107.88352272727273,-99.85795454545453,-52.55681818181819,-7.102272727272727,50.63920454545455,-21.946022727272734,-58.94886363636364,-41.90340909090909,-3.6221590909090864,-113.92045454545455,-114.77272727272728,79.82954545454545,-4.190340909090914,-51.13636363636364,-8.593749999999996,-65.26988636363637,-27.059659090909093,41.761363636363654,34.23295454545453,37.144886363636346,1.349431818181813,57.883522727272734,37.144886363636346,37.144886363636346,37.144886363636346,37.144886363636346,37.144886363636346,37.144886363636346,37.144886363636346,37.144886363636346
0.0,-46.44886363636364,-52.41477272727273,-32.24431818181817,38.84943181818181,-50.4971590909091,-26.278409090909093,-26.207386363636363,-81.67613636363637,-106.46306818181819,-101.42045454545453,-53.977272727272734,0.5681818181818201,55.46875,-11.576704545454547,-54.26136363636364,-40.34090909090909,3.906250000000007,-90.625,-108.66477272727273,98.7215909090909,11.718749999999993,-40.19886363636364,7.17329545454545,-51.06534090909091,-2.0596590909091006,46.59090909090909,42.04545454545453,43.394886363636346,1.4914772727272663,62.42897727272727,43.394886363636346,43.394886363636346,43.394886363636346,43.394886363636346,43.394886363636346,43.394886363636346,43.394886363636346,43.394886363636346
